pair_idx,of_time_ms,tm_time_ms,of_mean_intensity,tm_mean_intensity,mse,mae,correlation,of_motion_coverage,tm_motion_coverage
0,24.375000000873115,3.8381999984267168,0.2541816532611847,0.03229985013604164,0.07777669280767441,0.24570204317569733,0.29599659137635875,0.8877430555555555,0.06111111111111111
1,31.529500003671274,3.2756000000517815,0.4113312363624573,0.06875000149011612,0.19297035038471222,0.4014717936515808,0.053900149434064605,0.9720138888888888,0.10694444444444444
2,30.41490000032354,3.0670999985886738,0.172066792845726,0.22673214972019196,0.02809208072721958,0.13842836022377014,0.7723759123517641,0.7373263888888889,0.6416666666666667
3,22.649799997452646,3.1125999958021566,0.18603360652923584,0.12208021432161331,0.05703074857592583,0.18096144497394562,0.5858761651122061,0.6765451388888889,0.16805555555555557
4,23.59240000077989,3.5076000058325008,0.1314825415611267,0.10333587974309921,0.02676120400428772,0.12108685076236725,0.7721476241879832,0.4628125,0.21388888888888888
5,23.720800003502518,3.106700001808349,0.22071146965026855,0.09352017194032669,0.062069300562143326,0.20577503740787506,0.6253190988562585,0.7908854166666667,0.10694444444444444
6,22.264699997322168,3.7392999947769567,0.16089394688606262,0.15751318633556366,0.0344742015004158,0.15250976383686066,0.72429606493062,0.67203125,0.35138888888888886
7,22.79429999907734,3.0234000005293638,0.16067759692668915,0.09763626754283905,0.04662008583545685,0.15825283527374268,0.5216832202120093,0.6514236111111111,0.16805555555555557
8,23.192000000562984,3.0636000010417774,0.11012064665555954,0.07606170326471329,0.02598106861114502,0.108921118080616,0.6078351721797194,0.2567534722222222,0.16805555555555557
9,22.44599999539787,4.0573000005679205,0.10682015120983124,0.0594179704785347,0.019376151263713837,0.09080445021390915,0.716047063723948,0.22956597222222222,0.1527777777777778
10,22.345999997924082,3.086000004259404,0.1900252252817154,0.061298076063394547,0.05474201589822769,0.16949649155139923,0.3699705487212056,0.7270833333333333,0.0763888888888889
11,22.45319999929052,3.06770000315737,0.11305996030569077,0.06334277987480164,0.03765462338924408,0.1119975596666336,0.5037128084103913,0.22425347222222222,0.0763888888888889
12,21.389200002886355,3.8589000032516196,0.16017666459083557,0.07561418414115906,0.05211722478270531,0.1644345223903656,0.47329015255197654,0.6671875,0.10694444444444444
13,22.098800000094343,2.994999995280523,0.1847289800643921,0.04794321209192276,0.06137150898575783,0.18394072353839874,0.20735174814996377,0.7640277777777778,0.04583333333333333
14,25.78269999503391,2.892900003644172,0.20134443044662476,0.06745206564664841,0.06207168847322464,0.19428403675556183,0.3642397240918454,0.87875,0.0763888888888889
15,21.082500003103632,3.173099998093676,0.10531925410032272,0.031991150230169296,0.03214704990386963,0.10729894042015076,0.44717632616719866,0.20895833333333333,0.04583333333333333
16,22.18929999799002,2.9511000029742718,0.08901253342628479,0.05253291502594948,0.017399298027157784,0.07472129911184311,0.72780296114442,0.11522569444444444,0.12222222222222222
17,21.669900001143105,3.4736000015982427,0.09453082829713821,0.07012791186571121,0.03393738716840744,0.10452356934547424,0.6345407828414951,0.23564236111111111,0.0763888888888889
18,23.608700001204852,2.987699997902382,0.10046984255313873,0.04477522894740105,0.019637098535895348,0.0941883996129036,0.6546187130506528,0.19272569444444446,0.09166666666666666
